Epoch,Total loss,Train CE loss,Val CE loss,Test CE loss,NegBin rule loss,NegBin detector loss,L2 weights loss,Time window abundance loss,Time window slope loss
16,11346.4912109375,11.461160659790039,"tensor(8.9605, device='cuda:0')","tensor(8.9605, device='cuda:0')",1.5887722969055176,22.325363159179688,66.7540512084961,-84.19535827636719,-86.38130187988281
17,11346.0771484375,11.350509643554688,"tensor(8.8007, device='cuda:0')","tensor(8.8007, device='cuda:0')",1.589709758758545,22.27447509765625,66.7540512084961,-84.40364837646484,-86.4261474609375
18,11345.703125,11.226419448852539,"tensor(9.0838, device='cuda:0')","tensor(9.0838, device='cuda:0')",1.590691328048706,22.222270965576172,66.7540512084961,-84.56399536132812,-86.46492004394531
19,11345.322265625,11.070520401000977,"tensor(9.1560, device='cuda:0')","tensor(9.1560, device='cuda:0')",1.5917348861694336,22.168922424316406,66.7540512084961,-84.7039794921875,-86.49761962890625
20,11344.8466796875,10.898124694824219,"tensor(9.7371, device='cuda:0')","tensor(9.7371, device='cuda:0')",1.5928583145141602,22.114212036132812,66.7540512084961,-84.92437744140625,-86.52708435058594
21,11344.2509765625,10.737871170043945,"tensor(10.3501, device='cuda:0')","tensor(10.3501, device='cuda:0')",1.5940465927124023,22.05840301513672,66.7540512084961,-85.28094482421875,-86.55162048339844
22,11343.7236328125,10.59842586517334,"tensor(11.3606, device='cuda:0')","tensor(11.3606, device='cuda:0')",1.595254898071289,22.00111198425293,66.7540512084961,-85.59001922607422,-86.57447814941406
23,11343.28515625,10.473594665527344,"tensor(12.3072, device='cuda:0')","tensor(12.3072, device='cuda:0')",1.5964787006378174,21.94300079345703,66.7540512084961,-85.82743072509766,-86.59333038330078
24,11342.982421875,10.371726989746094,"tensor(13.2038, device='cuda:0')","tensor(13.2038, device='cuda:0')",1.5977098941802979,21.88326644897461,66.7540512084961,-85.951171875,-86.61245727539062
25,11342.728515625,10.280231475830078,"tensor(13.8653, device='cuda:0')","tensor(13.8653, device='cuda:0')",1.5989556312561035,21.82247543334961,66.7540512084961,-86.03713989257812,-86.62837219238281
26,11342.49609375,10.19224739074707,"tensor(14.3608, device='cuda:0')","tensor(14.3608, device='cuda:0')",1.6002147197723389,21.760028839111328,66.75405883789062,-86.1043930053711,-86.64447021484375
27,11342.2734375,10.100767135620117,"tensor(14.7096, device='cuda:0')","tensor(14.7096, device='cuda:0')",1.6014976501464844,21.69656753540039,66.75405883789062,-86.16017150878906,-86.65786743164062
28,11342.0654296875,10.01796817779541,"tensor(14.9400, device='cuda:0')","tensor(14.9400, device='cuda:0')",1.6028060913085938,21.63152313232422,66.75405883789062,-86.20792388916016,-86.67153930664062
29,11341.8642578125,9.935035705566406,"tensor(15.0455, device='cuda:0')","tensor(15.0455, device='cuda:0')",1.6041436195373535,21.56503677368164,66.75405883789062,-86.24976348876953,-86.68260955810547
30,11341.6689453125,9.854652404785156,"tensor(15.1278, device='cuda:0')","tensor(15.1278, device='cuda:0')",1.6055116653442383,21.497177124023438,66.75405883789062,-86.28690338134766,-86.69432830810547
31,11341.4775390625,9.773489952087402,"tensor(15.2778, device='cuda:0')","tensor(15.2778, device='cuda:0')",1.6069130897521973,21.427852630615234,66.75405883789062,-86.32026672363281,-86.70376586914062
