name	description	leaves
Otu000145	OTU mapped to a clade within genus Ruminococcus,including representatives of species Ruminococcus albus, Ruminococcus flavefaciens, Ruminococcus callidus	
Otu000146	OTU mapped to Collinsella aerofaciens	
Otu000148	OTU mapped to Parabacteroides johnsonii	
Otu000150	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides xylanisolvens, Bacteroides ovatus	
Otu000152	OTU mapped to Blautia hansenii	
Otu000153	OTU mapped to Alistipes shahii	
Otu000154	OTU mapped to Dorea formicigenerans	
Otu000155	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	
Otu000156	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium disporicum, Clostridium celatum	
Otu000157	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
Otu000162	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae, Clostridiaceae	
Otu000163	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	
Otu000164	OTU mapped to Ruminococcus lactaris	
Otu000165	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides chinchillae, Bacteroides dorei, Bacteroides sartorii, Bacteroides massiliensis	
Otu000167	OTU mapped to a clade within phylum Tenericutes or Fusobacteria or Elusimicrobia or Bacteroidetes or Firmicutes	
Otu000169	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Escherichia, Shigella	
Otu000171	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000172	OTU mapped to Butyricicoccus pullicaecorum	
Otu000174	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae	
Otu000175	OTU mapped to Bacteroides caccae	
Otu000176	OTU mapped to a clade within genus Peptostreptococcus,including representatives of species Peptostreptococcus anaerobius, Peptostreptococcus stomatis	
Otu000177	OTU mapped to Bacteroides caccae	
Otu000178	OTU mapped to Eubacterium ramulus	
Otu000180	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Oscillospiraceae	
Otu000183	OTU mapped to Roseburia inulinivorans	
Otu000186	OTU mapped to Butyricicoccus pullicaecorum	
Otu000188	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Erysipelotrichia, Bacilli	
Otu000189	OTU mapped to Ruminococcus callidus	
Otu000196	OTU mapped to Lachnobacterium bovis	
Otu000202	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus	
Otu000204	OTU mapped to a clade within phylum Firmicutes,including representatives of class Erysipelotrichia, Bacilli	
Otu000205	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000206	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000208	OTU mapped to Faecalibacterium prausnitzii	
Otu000212	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000214	OTU mapped to a clade within phylum Chlorobi or Ignavibacteriae or Proteobacteria or Bacteroidetes or Deinococcus-Thermus	
Otu000216	OTU mapped to Bacteroides dorei	
Otu000218	OTU mapped to Eubacterium siraeum	
Otu000221	OTU mapped to Eubacterium coprostanoligenes	
Otu000226	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides faecis, Bacteroides acidifaciens, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides thetaiotaomicron, Bacteroides ovatus, Bacteroides caccae	
Otu000227	OTU mapped to Eubacterium ventriosum	
Otu000233	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000239	OTU mapped to Bacteroides nordii	
Otu000241	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides faecis, Bacteroides graminisolvens, Bacteroides acidifaciens, Bacteroides finegoldii, Bacteroides xylanisolvens, Bacteroides thetaiotaomicron, Bacteroides fragilis, Bacteroides ovatus, Bacteroides salyersiae, Bacteroides nordii, Bacteroides caccae	
Otu000244	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	
Otu000253	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Buttiauxella, Citrobacter, Raoultella, Enterobacter, Kluyvera, Serratia, Escherichia, Lelliottia, Cedecea, Klebsiella, Yokenella	
Otu000257	OTU mapped to Parabacteroides gordonii	
Otu000264	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	
Otu000265	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	
Otu000269	OTU mapped to Bacteroides dorei	
16219	a clade within phylum Euryarchaeota,including representatives of class Halobacteria, Methanomicrobia, Methanobacteria, Thermoplasmata	
15392	a clade within phylum Chlamydiae or Deinococcus-Thermus or Planctomycetes or Elusimicrobia or Spirochaetes or Fibrobacteres or Nitrospirae or Tenericutes or Chlorobi or Fusobacteria or Ignavibacteriae or Proteobacteria or Lentisphaerae or Bacteroidetes or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi or Deferribacteres or Gemmatimonadetes or Chrysiogenetes or Acidobacteria	Otu000038 Otu000040 Otu000025 Otu000127 Otu000188 12210 Otu000031 Otu000112 12562 Otu000172 Otu000186 Otu000218 Otu000009 Otu000020 Otu000030 Otu000208 Otu000155 Otu000244 Otu000126 Otu000042 Otu000005 Otu000135 Otu000145 Otu000080 Otu000189 12593 Otu000054 Otu000221 12605 12621 Otu000093 Otu000097 Otu000138 Otu000072 Otu000106 Otu000075 Otu000084 Otu000094 Otu000180 12659 12970 Otu000176 Otu000115 Otu000157 Otu000100 Otu000143 Otu000171 Otu000233 Otu000129 Otu000051 Otu000060 Otu000178 Otu000044 Otu000183 Otu000095 Otu000264 Otu000265 Otu000011 Otu000196 Otu000062 Otu000117 13110 Otu000037 13140 Otu000019 Otu000045 Otu000102 Otu000152 Otu000077 Otu000118 13181 Otu000163 Otu000071 Otu000049 Otu000085 Otu000130 Otu000092 Otu000164 Otu000066 Otu000174 Otu000091 Otu000086 Otu000154 Otu000073 Otu000162 Otu000056 Otu000227 Otu000132 Otu000205 Otu000103 Otu000113 Otu000212 Otu000052 Otu000074 Otu000090 Otu000206 Otu000156 Otu000139 Otu000167 Otu000204 14401 Otu000088 Otu000039 Otu000083 Otu000028 Otu000047 Otu000048 Otu000024 Otu000076 Otu000253 Otu000169 Otu000017 Otu000081 Otu000063 Otu000036 11752 Otu000214 Otu000136 Otu000029 Otu000098 6021 Otu000006 Otu000002 Otu000089 Otu000107 Otu000032 Otu000010 Otu000108 6131 Otu000202 Otu000099 Otu000023 Otu000004 Otu000053 Otu000016 Otu000050 Otu000175 Otu000177 Otu000018 Otu000070 Otu000035 Otu000008 Otu000116 Otu000013 Otu000119 Otu000125 Otu000150 Otu000141 Otu000027 Otu000226 Otu000021 Otu000241 Otu000065 Otu000239 Otu000165 Otu000007 Otu000142 Otu000134 Otu000014 Otu000101 Otu000001 Otu000069 Otu000012 Otu000216 Otu000269 Otu000124 Otu000064 Otu000043 Otu000082 Otu000148 Otu000257 6010 6259 Otu000059 Otu000153 Otu000109 Otu000057 Otu000003 Otu000034 Otu000058 Otu000026 Otu000146 Otu000015 Otu000046
15300	a clade within phylum Tenericutes or Fusobacteria or Elusimicrobia or Proteobacteria or Bacteroidetes or Firmicutes	Otu000038 Otu000040 Otu000025 Otu000127 Otu000188 12210 Otu000031 Otu000112 12562 Otu000172 Otu000186 Otu000218 Otu000009 Otu000020 Otu000030 Otu000208 Otu000155 Otu000244 Otu000126 Otu000042 Otu000005 Otu000135 Otu000145 Otu000080 Otu000189 12593 Otu000054 Otu000221 12605 12621 Otu000093 Otu000097 Otu000138 Otu000072 Otu000106 Otu000075 Otu000084 Otu000094 Otu000180 12659 12970 Otu000176 Otu000115 Otu000157 Otu000100 Otu000143 Otu000171 Otu000233 Otu000129 Otu000051 Otu000060 Otu000178 Otu000044 Otu000183 Otu000095 Otu000264 Otu000265 Otu000011 Otu000196 Otu000062 Otu000117 13110 Otu000037 13140 Otu000019 Otu000045 Otu000102 Otu000152 Otu000077 Otu000118 13181 Otu000163 Otu000071 Otu000049 Otu000085 Otu000130 Otu000092 Otu000164 Otu000066 Otu000174 Otu000091 Otu000086 Otu000154 Otu000073 Otu000162 Otu000056 Otu000227 Otu000132 Otu000205 Otu000103 Otu000113 Otu000212 Otu000052 Otu000074 Otu000090 Otu000206 Otu000156 Otu000139 Otu000167 Otu000204 14401 Otu000088
11798	a clade within phylum Tenericutes or Planctomycetes or Chlorobi or Ignavibacteriae or Gemmatimonadetes or Proteobacteria or Spirochaetes or Chlamydiae or Lentisphaerae or Bacteroidetes or Deinococcus-Thermus or Fibrobacteres or Acidobacteria or Nitrospirae or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi	Otu000039 Otu000083 Otu000028 Otu000047 Otu000048 Otu000024 Otu000076 Otu000253 Otu000169 Otu000017 Otu000081 Otu000063 Otu000036 11752 Otu000214 Otu000136 Otu000029 Otu000098 6021 Otu000006 Otu000002 Otu000089 Otu000107 Otu000032 Otu000010 Otu000108 6131 Otu000202 Otu000099 Otu000023 Otu000004 Otu000053 Otu000016 Otu000050 Otu000175 Otu000177 Otu000018 Otu000070 Otu000035 Otu000008 Otu000116 Otu000013 Otu000119 Otu000125 Otu000150 Otu000141 Otu000027 Otu000226 Otu000021 Otu000241 Otu000065 Otu000239 Otu000165 Otu000007 Otu000142 Otu000134 Otu000014 Otu000101 Otu000001 Otu000069 Otu000012 Otu000216 Otu000269 Otu000124 Otu000064 Otu000043 Otu000082 Otu000148 Otu000257 6010 6259 Otu000059 Otu000153 Otu000109 Otu000057 Otu000003 Otu000034 Otu000058 Otu000026 Otu000146 Otu000015 Otu000046
13284	a clade within phylum Tenericutes or Fusobacteria or Elusimicrobia or Proteobacteria or Bacteroidetes or Firmicutes	Otu000038 Otu000040 Otu000025 Otu000127 Otu000188 12210 Otu000031 Otu000112 12562 Otu000172 Otu000186 Otu000218 Otu000009 Otu000020 Otu000030 Otu000208 Otu000155 Otu000244 Otu000126 Otu000042 Otu000005 Otu000135 Otu000145 Otu000080 Otu000189 12593 Otu000054 Otu000221 12605 12621 Otu000093 Otu000097 Otu000138 Otu000072 Otu000106 Otu000075 Otu000084 Otu000094 Otu000180 12659 12970 Otu000176 Otu000115 Otu000157 Otu000100 Otu000143 Otu000171 Otu000233 Otu000129 Otu000051 Otu000060 Otu000178 Otu000044 Otu000183 Otu000095 Otu000264 Otu000265 Otu000011 Otu000196 Otu000062 Otu000117 13110 Otu000037 13140 Otu000019 Otu000045 Otu000102 Otu000152 Otu000077 Otu000118 13181 Otu000163 Otu000071 Otu000049 Otu000085 Otu000130 Otu000092 Otu000164 Otu000066 Otu000174 Otu000091 Otu000086 Otu000154 Otu000073 Otu000162 Otu000056 Otu000227 Otu000132 Otu000205 Otu000103 Otu000113 Otu000212 Otu000052 Otu000074 Otu000090 Otu000206 Otu000156 Otu000139 Otu000167
11797	a clade within phylum Planctomycetes or Chlorobi or Ignavibacteriae or Proteobacteria or Chlamydiae or Bacteroidetes or Deinococcus-Thermus or Acidobacteria	Otu000039 Otu000083 Otu000028 Otu000047 Otu000048 Otu000024 Otu000076 Otu000253 Otu000169 Otu000017 Otu000081 Otu000063 Otu000036 11752 Otu000214 Otu000136 Otu000029 Otu000098 6021 Otu000006 Otu000002 Otu000089 Otu000107 Otu000032 Otu000010 Otu000108 6131 Otu000202 Otu000099 Otu000023 Otu000004 Otu000053 Otu000016 Otu000050 Otu000175 Otu000177 Otu000018 Otu000070 Otu000035 Otu000008 Otu000116 Otu000013 Otu000119 Otu000125 Otu000150 Otu000141 Otu000027 Otu000226 Otu000021 Otu000241 Otu000065 Otu000239 Otu000165 Otu000007 Otu000142 Otu000134 Otu000014 Otu000101 Otu000001 Otu000069 Otu000012 Otu000216 Otu000269 Otu000124 Otu000064 Otu000043 Otu000082 Otu000148 Otu000257 6010 6259 Otu000059 Otu000153 Otu000109 Otu000057 Otu000003 Otu000034
4284	a clade within phylum Gemmatimonadetes or Lentisphaerae or Nitrospirae or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi	Otu000058 Otu000026 Otu000146 Otu000015 Otu000046
12068	a clade within phylum Firmicutes,including representatives of class Clostridia, Negativicutes	Otu000038 Otu000040 Otu000025 Otu000127
15252	a clade within phylum Firmicutes,including representatives of class Erysipelotrichia, Bacilli	Otu000204 14401 Otu000088
4216	a clade within phylum Chloroflexi or Actinobacteria or Firmicutes	Otu000058 Otu000026 Otu000146
13260	a clade within phylum Tenericutes or Fusobacteria or Elusimicrobia or Bacteroidetes or Firmicutes	Otu000188 12210 Otu000031 Otu000112 12562 Otu000172 Otu000186 Otu000218 Otu000009 Otu000020 Otu000030 Otu000208 Otu000155 Otu000244 Otu000126 Otu000042 Otu000005 Otu000135 Otu000145 Otu000080 Otu000189 12593 Otu000054 Otu000221 12605 12621 Otu000093 Otu000097 Otu000138 Otu000072 Otu000106 Otu000075 Otu000084 Otu000094 Otu000180 12659 12970 Otu000176 Otu000115 Otu000157 Otu000100 Otu000143 Otu000171 Otu000233 Otu000129 Otu000051 Otu000060 Otu000178 Otu000044 Otu000183 Otu000095 Otu000264 Otu000265 Otu000011 Otu000196 Otu000062 Otu000117 13110 Otu000037 13140 Otu000019 Otu000045 Otu000102 Otu000152 Otu000077 Otu000118 13181 Otu000163 Otu000071 Otu000049 Otu000085 Otu000130 Otu000092 Otu000164 Otu000066 Otu000174 Otu000091 Otu000086 Otu000154 Otu000073 Otu000162 Otu000056 Otu000227 Otu000132 Otu000205 Otu000103 Otu000113 Otu000212 Otu000052 Otu000074 Otu000090 Otu000206 Otu000156 Otu000139 Otu000167
4250	Akkermansia muciniphila	Otu000015 Otu000046
11789	a clade within phylum Chlorobi or Ignavibacteriae or Proteobacteria or Bacteroidetes or Deinococcus-Thermus	Otu000028 Otu000047 Otu000048 Otu000024 Otu000076 Otu000253 Otu000169 Otu000017 Otu000081 Otu000063 Otu000036 11752 Otu000214 Otu000136 Otu000029 Otu000098 6021 Otu000006 Otu000002 Otu000089 Otu000107 Otu000032 Otu000010 Otu000108 6131 Otu000202 Otu000099 Otu000023 Otu000004 Otu000053 Otu000016 Otu000050 Otu000175 Otu000177 Otu000018 Otu000070 Otu000035 Otu000008 Otu000116 Otu000013 Otu000119 Otu000125 Otu000150 Otu000141 Otu000027 Otu000226 Otu000021 Otu000241 Otu000065 Otu000239 Otu000165 Otu000007 Otu000142 Otu000134 Otu000014 Otu000101 Otu000001 Otu000069 Otu000012 Otu000216 Otu000269 Otu000124 Otu000064 Otu000043 Otu000082 Otu000148 Otu000257 6010 6259 Otu000059 Otu000153 Otu000109 Otu000057 Otu000003 Otu000034
12066	a clade within order Selenomonadales,including representatives of family Veillonellaceae, Acidaminococcaceae	Otu000040 Otu000025 Otu000127
12664	a clade within phylum Tenericutes or Fusobacteria or Elusimicrobia or Bacteroidetes or Firmicutes	Otu000188 12210 Otu000031 Otu000112 12562 Otu000172 Otu000186 Otu000218 Otu000009 Otu000020 Otu000030 Otu000208 Otu000155 Otu000244 Otu000126 Otu000042 Otu000005 Otu000135 Otu000145 Otu000080 Otu000189 12593 Otu000054 Otu000221 12605 12621 Otu000093 Otu000097 Otu000138 Otu000072 Otu000106 Otu000075 Otu000084 Otu000094 Otu000180 12659
